ALON, NOGA MORDECHAI:PACH, JANOS
ALON, NOGA MORDECHAI:POMERANCE, CARL BERNARD
ALON, NOGA MORDECHAI:RODL, VOJTECH
ALON, NOGA MORDECHAI:RUSZINKO, MIKLOS
ALON, NOGA MORDECHAI:RUZSA, IMRE Z.
ALON, NOGA MORDECHAI:SAKS, MICHAEL EZRA
ALON, NOGA MORDECHAI:SPENCER, JOEL HAROLD
ALON, NOGA MORDECHAI:SZEGEDY, MARIO
ALON, NOGA MORDECHAI:SZEKELY, LASZLO ALADAR
ALON, NOGA MORDECHAI:SZEMEREDI, ENDRE
ALON, NOGA MORDECHAI:TETALI, PRASAD VENKATA SITARAMA VARA
ALON, NOGA MORDECHAI:THOMASSEN, CARSTEN
ALON, NOGA MORDECHAI:TROTTER, WILLIAM THOMAS, JR.
ALON, NOGA MORDECHAI:TUZA, ZSOLT
ALON, NOGA MORDECHAI:WEST, DOUGLAS BRENT
ALON, NOGA MORDECHAI:WINKLER, PETER MANN
ALON, NOGA MORDECHAI:WORMALD, NICHOLAS CHARLES
ANDERSON, JAMES MILNE*:CLUNIE, JAMES GOURLAY*
ANDERSON, JAMES MILNE*:FUCHS, WOLFGANG HEINRICH JOHANNES*
ANDERSON, JAMES MILNE*:NEWMAN, DONALD JOSEPH*
ANDERSON, JAMES MILNE*:PINKUS, ALLAN MARK
ANDERSON, JAMES MILNE*:RUBEL, LEE ALBERT*
ANDERSON, JAMES MILNE*:SHAPIRO, HAROLD SEYMOUR
ANDERSON, JAMES MILNE*:SHIELDS, ALLEN LOWELL*
ANDERSON, JAMES MILNE*:SHISHA, OVED*
ANDRASFAI, BELA:SOS, VERA TURAN
ANKENY, NESMITH CORNETT*:CHOWLA, SARVADAMAN D. S.*
ANKENY, NESMITH CORNETT*:ROGERS, CLAUDE AMBROSE*
ARKIN, JOSEPH*:ARNEY, DAVID CHRISTOPHER
ARKIN, JOSEPH*:BURR, STEFAN ANDRUS
ARKIN, JOSEPH*:HOGGATT, VERNER EMIL, JR.*
ARKIN, JOSEPH*:POLLACK, RICHARD M.*
ARKIN, JOSEPH*:STRAUS, ERNST GABOR*
ARNEY, DAVID CHRISTOPHER:BURR, STEFAN ANDRUS
ARONOV, BORIS:GODDARD, WAYNE DEAN
ARONOV, BORIS:KLEITMAN, DANIEL J.
ARONOV, BORIS:KLUGERMAN, MICHAEL RICHARD
ARONOV, BORIS:PACH, JANOS
ARONOV, BORIS:POLLACK, RICHARD M.*
ARONOV, BORIS:SCHULMAN, LEONARD J. Y.
ASH, J. MARSHALL:JANSON, SVANTE
ASH, J. MARSHALL:RUBEL, LEE ALBERT*
ASH, J. MARSHALL:SAFFARI, BAHMAN
ASH, J. MARSHALL:SCHWENK, ALLEN JOHN CARL
AVIS, DAVID MICHAEL:CHVATAL, VACLAV (VASEK)
AVIS, DAVID MICHAEL:DEZA, MICHEL-MARIE*
AVIS, DAVID MICHAEL:PACH, JANOS
BABAI, LASZLO:CAMERON, PETER JEPHSON
BABAI, LASZLO:CHUNG, FAN RONG KING (GRAHAM)
BABAI, LASZLO:DEZA, MICHEL-MARIE*
BABAI, LASZLO:FRANKL, PETER
BABAI, LASZLO:GODSIL, CHRISTOPHER DAVID
BABAI, LASZLO:GRAHAM, RONALD LEWIS*
BABAI, LASZLO:KOMLOS, JANOS
BABAI, LASZLO:LOVASZ, LASZLO
BABAI, LASZLO:MATE, ATTILA
BABAI, LASZLO:MORAN, SHLOMO
BABAI, LASZLO:NESETRIL, JAROSLAV
BABAI, LASZLO:PALFY, PETER PAL
BABAI, LASZLO:PHELPS, KEVIN THOMAS
BABAI, LASZLO:PYBER, LASZLO
BABAI, LASZLO:RODL, VOJTECH
BABAI, LASZLO:SELKOW, STANLEY MELVYN
BABAI, LASZLO:SERESS, AKOS*
BABAI, LASZLO:SIMONOVITS, MIKLOS
BABAI, LASZLO:SINGHI, NAVIN MADHAVPRASAD
BABAI, LASZLO:SOS, VERA TURAN
BABAI, LASZLO:SPENCER, JOEL HAROLD
BABAI, LASZLO:SZEGEDY, MARIO
BABAI, LASZLO:SZEMEREDI, ENDRE
BABAI, LASZLO:WILSON, RICHARD MICHAEL
BABU, GUTTI JOGESH:RAMACHANDRA, KANAKANAHALLI*
BAGEMIHL, FREDERICK*:GILLMAN, LEONARD*
BAGEMIHL, FREDERICK*:PIRANIAN, GEORGE*
BAGEMIHL, FREDERICK*:SEIDEL, WLADIMIR P.*
BALOG, ANTAL:DESHOUILLERS, JEAN-MARC
BALOG, ANTAL:GRANVILLE, ANDREW JAMES
BALOG, ANTAL:HARCOS, GERGELY
BALOG, ANTAL:POMERANCE, CARL BERNARD
BALOG, ANTAL:PYBER, LASZLO
BALOG, ANTAL:RUZSA, IMRE Z.
BALOG, ANTAL:SARKOZY, ANDRAS
BALOG, ANTAL:SZEMEREDI, ENDRE
BALOG, ANTAL:TENENBAUM, GERALD
BANKOFF, LEON*:KLAMKIN, MURRAY SEYMOUR*
BATEMAN, PAUL TREVIER*:CHOWLA, SARVADAMAN D. S.*
BATEMAN, PAUL TREVIER*:DIAMOND, HAROLD GEORGE
BATEMAN, PAUL TREVIER*:HILDEBRAND, ADOLF J.
BATEMAN, PAUL TREVIER*:POMERANCE, CARL BERNARD
BATEMAN, PAUL TREVIER*:PURDY, GEORGE BARRY*
BATEMAN, PAUL TREVIER*:SELFRIDGE, JOHN LEWIS*
BATEMAN, PAUL TREVIER*:STRAUS, ERNST GABOR*
BATEMAN, PAUL TREVIER*:VAUGHAN, ROBERT CHARLES
BATEMAN, PAUL TREVIER*:WAGSTAFF, SAMUEL STANDFIELD, JR.
BAUMGARTNER, JAMES EARL*:GALVIN, FREDERICK WILLIAM
BAUMGARTNER, JAMES EARL*:HAJNAL, ANDRAS*
BAUMGARTNER, JAMES EARL*:HIGGS, DENIS ARTHUR*
BAUMGARTNER, JAMES EARL*:KOMJATH, PETER
BAUMGARTNER, JAMES EARL*:LARSON, JEAN ANN
BAUMGARTNER, JAMES EARL*:MATE, ATTILA
BAUMGARTNER, JAMES EARL*:SHELAH, SAHARON
BAUMGARTNER, JAMES EARL*:TAYLOR, ALAN DANA
BEASLEY, LEROY B.:BRENNER, JOEL LEE*
BEASLEY, LEROY B.:DE CAEN, DOMINIQUE PAUL*
BEASLEY, LEROY B.:PULLMAN, NORMAN JAY*
BEASLEY, LEROY B.:SZALAY, MIHALY
BEASLEY, LEROY B.:WILLIAMSON, ALAN GLYNNE
BECK, ISTVAN:BEJLEGAARD, NIELS*
BECK, ISTVAN:FISHBURN, PETER CLINGERMAN
BEHZAD, MEHDI^1:CHARTRAND, GARY THEODORE
BEHZAD, MEHDI^1:HARARY, FRANK*
BEHZAD, MEHDI^1:LICK, DON RAYMOND
BEHZAD, MEHDI^1:LIU, JIUQIANG
BEJLEGAARD, NIELS*:FISHBURN, PETER CLINGERMAN
BERGELSON, VITALY:BLASS, ANDREAS RAPHAEL
BERGELSON, VITALY:DEUBER, WALTER A.*
BERGELSON, VITALY:HINDMAN, NEIL BRUCE
BERGELSON, VITALY:KOLESNIK, GRIGORI ABRAMOVICH
BERGELSON, VITALY:LEFMANN, HANNO
BERGELSON, VITALY:LUCZAK, TOMASZ
BERGELSON, VITALY:RUZSA, IMRE Z.
BERGER, MARC ARON:FELZENBAUM, ALEXANDER GERSH
BERGER, MARC ARON:FRAENKEL, AVIEZRI SIEGMUND
BERGER, MARC ARON:HOLZMAN, RON
BERTRAM, EDWARD ARTHUR:GORDON, BASIL*
BERTRAM, EDWARD ARTHUR:HERZOG, MARCEL
BERTRAM, EDWARD ARTHUR:HORAK, PETER
BERTRAM, EDWARD ARTHUR:SIRAN, JOZEF
BERTRAM, EDWARD ARTHUR:TUZA, ZSOLT
BIALOSTOCKI, ARIE:GYARFAS, ANDRAS
BIALOSTOCKI, ARIE:LEFMANN, HANNO
BIALOSTOCKI, ARIE:SAUER, NORBERT W.
BIALOSTOCKI, ARIE:SCHONHEIM, JOHANAN*
BLASS, ANDREAS RAPHAEL:HARARY, FRANK*
BLASS, ANDREAS RAPHAEL:HINDMAN, NEIL BRUCE
BLASS, ANDREAS RAPHAEL:SHELAH, SAHARON
BLASS, ANDREAS RAPHAEL:TAYLOR, ALAN DANA
BLASS, ANDREAS RAPHAEL:WEISS, GARY LYNN
BLECKSMITH, RICHARD FRED:BRILLHART, JOHN DAVID
BLECKSMITH, RICHARD FRED:SELFRIDGE, JOHN LEWIS*
BLEICHER, MICHAEL NATHANIEL:FEJES TOTH, LASZLO*
BOALS, ALFRED JOHN:CHARTRAND, GARY THEODORE
BOALS, ALFRED JOHN:OELLERMANN, ORTRUD R.
BOAS, RALPH PHILIP, JR.*:BRENNER, JOEL LEE*
BOAS, RALPH PHILIP, JR.*:BUCK, ROBERT CREIGHTON*
BOAS, RALPH PHILIP, JR.*:KAC, MARK*
BOAS, RALPH PHILIP, JR.*:KLAMKIN, MURRAY SEYMOUR*
BOAS, RALPH PHILIP, JR.*:POLLARD, HARRY*
BOAS, RALPH PHILIP, JR.*:REDDY, A. R.
BOES, DUANE CHARLES:DARST, RICHARD BRIAN
BOLLOBAS, BELA:CATLIN, PAUL ALLEN*
BOLLOBAS, BELA:CHUNG, FAN RONG KING (GRAHAM)
BOLLOBAS, BELA:CLARK, LANE HENRY
BOLLOBAS, BELA:DAYKIN, DAVID E.*
BOLLOBAS, BELA:FAUDREE, RALPH JASPER, JR.*
BOLLOBAS, BELA:FUREDI, ZOLTAN
BOLLOBAS, BELA:GRAHAM, RONALD LEWIS*
BOLLOBAS, BELA:GUY, RICHARD KENNETH*
BOLLOBAS, BELA:GYARFAS, ANDRAS
BOLLOBAS, BELA:GYORI, ERVIN
BOLLOBAS, BELA:HARARY, FRANK*
BOLLOBAS, BELA:HEGYVARI, NORBERT
BOLLOBAS, BELA:HELL, PAVOL
BOLLOBAS, BELA:HOBBS, ARTHUR MARMADUKE
BOLLOBAS, BELA:JANSON, SVANTE
BOLLOBAS, BELA:JIN, GUO PING
BOLLOBAS, BELA:KOHAYAKAWA, YOSHIHARU
BOLLOBAS, BELA:KOSTOCHKA, ALEXANDR V.
BOLLOBAS, BELA:KRIVELEVICH, MICHAEL
BOLLOBAS, BELA:LEHEL, JENO
BOLLOBAS, BELA:LOVASZ, LASZLO
BOLLOBAS, BELA:LUCZAK, TOMASZ
